station_id,station_name,lat,lng,member,casual,rides
TA1306000009,Larrabee St & Kingsbury St,41.8977521890326,-87.6429186452079,34827,8967,43794
TA1307000039,Clark St & Elm St,41.9029630331559,-87.6313132565947,49428,20991,70419
TA1307000128,Dearborn Pkwy & Delaware Pl,41.898964083329,-87.6299211921657,65581,33572,99153
TA1307000138,Wood St & Webster Ave,41.9210547674828,-87.6728000866362,12251,5733,17984
TA1308000005,Leavitt St & North Ave,41.9104354241651,-87.6823165588816,7279,2938,10217
TA1308000031,Logan Blvd & Elston Ave,41.9294639478476,-87.6841591860073,7397,3005,10402
TA1309000023,Sheffield Ave & Wrightwood Ave,41.9287084489931,-87.6538379199617,18625,11396,30021
TA1309000025,Halsted St & Roscoe St,41.9436656505902,-87.6489525154401,22629,12463,35092
TA1309000029,Leavitt St & Armitage Ave,41.9178102937703,-87.68244582008,8569,3958,12527
WL-011,Jefferson St & Monroe St,41.880332979076,-87.6427478130372,12985,4701,17686
chargingstx4,Morgan St & Lake St*,41.8854995624342,-87.6522985213872,17482,7428,24910
13303,Clark St & Chicago Ave,41.8967458593779,-87.6308848273133,16683,7654,24337
960,Public Rack - Pulaski Rd & 5th Ave,41.873043364,-87.7252456643334,4,3,7
1022,Public Rack - Ewing Ave & 96th St S,41.720634,-87.53517,9,14,23
20229,Baltimore Ave & 87th St,41.7373364669013,-87.548515456667,1203,280,1483
20239,Marquette Ave & 89th St,41.733672909034,-87.558368717942,30,117,147
24400,Ewing Ave & 97th St,41.71982,-87.53542,31,63,94
636,Public Rack - Ewing Ave & 101st St,41.8900222573755,-87.6366222013997,12873,5166,18039
637,Public Rack - Ewing Ave & 96th St N,41.8956334457868,-87.6720803616788,11385,4033,15418
983,Public Rack - Ewing Ave & 102nd St,41.709948,-87.535365,6,26,32
KA1503000018,Jeffery Blvd & 71st St,41.7666369003201,-87.5764476100075,574,236,810
1023,Public Rack - Brainerd Park,41.7269376425,-87.654921429125,2,7,9
20103,Prospect Sq & 91st St,41.7281993832714,-87.6675342469449,226,242,468
